Product,Price,Shipping,Quantity,Vendor,Link
Kailh Choc Low Profile Switch,$28.28 ,Free,1 x 70pcs,AliExpress,Kailh Choc Low Profile Switch
1N4148 Diodes,$1.82 ,Free,1 x 100pcs,AliExpress,1N4148 Diodes
Raspberry Pi Zero 2 W,$18.85 ,Free,1,Core Electronics,Raspberry Pi Zero 2 W
3.7V 2400mAh LiPo Battery,$14.05 ,Free,1,Core Electronics,3.7V 2400mAh LiPo Battery
Micro USB Plug Breakout,$8.95 ,Free,1 x 4pcs,AmazonAU,USB MicroB Plug Breakout Board
Type-C TP4056 Charging Module,$0.86 ,Free,1,AliExpress,DIY Type-C USB 5V 1A 18650 TP4056
MT3608 Boost Module,$1.79 ,Free,1,AliExpress,MT3608 Boost Module
24 Pin FPC Cable Connector,$0.75 ,Free,1 x 5pcs,LCSC Electronics,BOOMELE(Boom Precision Elec) 0.5-24P FG
Battery Cable Socket,$1.18 ,Free,1,Core Electronics,JST Right-Angle Connector - SMD 2-Pin
4.2inch E-Paper Display,$25.08 , $3.75 ,1,AliExpress,4.2 inch 3-Colour E-Ink display module (400x300 Pixels)
Adafruit KB2040,$12.83 ,Free,1,Core Electronics,RP2040 Kee Boar Driver
"OLED Display 128X32 0.91"" SSD1306",$2.19 ,Free,1,AliExpress,0.91 inch OLED Display Module - White
MCP23017-E/SO I/O Expander,$3.07 ,Free,1,AliExpress,MCP23017-E/SO SOP28
Metal Film Resistors 4.7kΩ 0.25W,$0.31 ,Free,1 x 50pcs,LCSC Electronics,UNI-ROYAL(Uniroyal Elec) MFR0W4F4701A50
26 Pin FFC Cable Connector,$4.57 ,Free,1 x 2pcs,DigiKey Aus,FH12-26S-0.5SH(55)
9 Pin FFC Cable Connector,$4.76 ,Free,1 x 4pcs,DigiKey Aus,FH19C-9S-0.5SH(10)
10 Pin FFC Cable Connector,$2.79 ,Free,1 x 2pcs,DigiKey Aus,FH12-10S-0.5SH(55)
Centre Keyboard,$9.66 , $8.10 ,1 x 5pcs,JLCPCB,N/A
Left Keyboard,$3.19 , $1.49 ,1 x 5pcs,JLCPCB,N/A
Right Keyboard,$3.19 , $1.49 ,1 x 5pcs,JLCPCB,N/A
Dice Roller Screen,$3.19 , $1.49 ,1 x 5pcs,JLCPCB,N/A
Top Screen,$0.10 , $7.74 ,1 x 5pcs,JLCPCB,N/A
Total Cost,$175.51 ,,,,
